crab,rep,c4_0,c6_0,c8_0,c10_0,c11_0,c12_0,c13_0,c14_0,c15_0,c16_0,c17_0,c20_0,c22_0,c24_0,c14_1,c16_1,c24_1,c20_2,c22_2,c18_2n6t,c18_3n3,c20_3n3,c20_4n6
PP,26,0.0000,19.1254,8.0113,20.8232,0.0000,0.0000,8.2240,0.0000,0.0000,0.0000,14.9917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.1833,0.0000,9.6411
PP,27,0.0000,24.2399,17.5026,32.7037,0.0000,11.4429,0.0000,0.0000,0.0000,0.0000,14.1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,28,0.0000,32.2099,14.4656,35.5414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,29,0.0000,27.5575,13.5173,34.4489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.4763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,30,0.0000,11.1351,13.4794,24.1725,3.4663,4.5130,0.0000,0.0000,0.0000,0.0000,32.8895,0.0000,3.3240,0.0000,0.0000,0.0000,0.0000,7.0203,0.0000,0.0000,0.0000,0.0000,0.0000
PS,1,8.7567,21.1826,16.6895,10.0923,8.3468,3.3559,0.0000,0.0000,0.0000,0.0000,23.9111,0.0000,7.6651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,2,13.8442,21.3544,8.5988,20.6463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,3,0.0000,23.8889,9.1844,16.1868,0.0000,4.7564,0.0000,0.0000,0.0000,0.0000,38.5799,0.0000,0.0000,0.0000,0.0000,0.0000,7.4036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,4,0.0000,18.4350,13.0664,25.9127,5.4123,9.8418,0.0000,0.0000,0.0000,0.0000,27.3318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,5,38.2494,19.9720,8.5445,15.7984,0.0000,7.1824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,6,0.0000,24.3263,18.2326,27.0963,0.0000,7.2032,0.0000,0.0000,0.0000,0.0000,23.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,7,0.0000,10.8345,4.8907,69.4628,0.0000,4.1691,0.0000,0.0000,0.0000,0.0000,10.6428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,8,0.0000,7.7728,7.0044,70.4376,0.0000,1.9670,0.0000,0.0000,0.0000,0.0000,12.8182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,9,0.0000,15.7613,16.6738,24.7279,0.0000,7.6084,0.0000,0.0000,0.0000,0.0000,35.2286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,10,0.0000,14.2484,13.1562,23.0781,0.0000,4.9692,0.0000,0.0000,0.0000,0.0000,37.7864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3380,0.0000,0.0000,0.0000,3.4236,0.0000
PS,11,0.0000,16.6435,17.0972,21.7444,0.0000,8.2848,0.0000,0.0000,0.0000,0.0000,31.7176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5126,0.0000,0.0000,0.0000,0.0000,0.0000
PS,12,0.0000,13.3411,21.7268,19.6538,0.0000,6.6162,0.0000,0.0000,2.9751,0.0000,32.4012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2859,0.0000,0.0000,0.0000,0.0000,0.0000
PS,13,0.0000,36.8165,10.0193,26.0424,10.3374,7.1609,0.0000,0.0000,0.0000,9.6235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
