"","Place","Fish","Rep","Fish.wt","Fish.lt","Oto.wd","Oto.lt","Oto.wt","Ca","Sr","Ba","Mn","Zn","K","Pb","Cu"
"1","CTI",12,1,19.03,12.1,3.8,6.4,0.038,0.190454429612548,0.250488000734405,-0.351771162215369,-0.589953072385848,-0.57329844539567,-0.425044182651593,-0.0559807529117377,-0.156571378816593
"2","CTI",12,2,19.03,12.1,3.8,6.4,0.038,-0.158647376194654,0.507545242081002,-0.0303558870947272,-1.58799398431679,-0.57329844539567,-0.142100569939733,-0.0559807529117377,-0.875521587668297
"3","CTI",12,3,19.03,12.1,3.8,6.4,0.038,0.27772988106441,0.507545242081002,-1.15530935001697,0.408087839545098,0.578417181515274,-0.990931408075312,1.14360680948264,1.28132903888681
"4","CTI",13,1,20.47,12.4,3.8,6.6,0.041,1.0632089441308,-1.03479820599858,-0.51247879977569,0.408087839545098,-0.57329844539567,-0.425044182651593,-0.0559807529117377,-0.156571378816593
"5","CTI",13,2,20.47,12.4,3.8,6.6,0.041,-0.944126439261042,-0.263626481958787,2.38025867631009,-0.589953072385848,-0.57329844539567,0.706730268195845,-2.4551558777005,-0.875521587668297
"6","CTI",13,3,20.47,12.4,3.8,6.6,0.041,0.452280783968011,-0.135097861285489,-0.51247879977569,-1.58799398431679,0.578417181515274,0.140843042772126,-0.0559807529117377,-0.156571378816593
"7","CTI",14,1,25.77,13.3,4.1,6.8,0.0467,0.975933492678936,-1.03479820599858,0.130351750465594,-0.589953072385848,-0.57329844539567,0.140843042772126,-1.25556831530612,-2.3134220053717
"8","CTI",14,2,25.77,13.3,4.1,6.8,0.0467,0.888658041227074,-0.649212343978681,-0.351771162215369,-0.589953072385848,-0.57329844539567,-0.142100569939733,-0.0559807529117377,-0.875521587668297
"9","CTI",14,3,25.77,13.3,4.1,6.8,0.0467,0.103178978160809,-0.906269585325277,-0.0303558870947272,2.40416966340699,2.88184843533716,-0.142100569939733,1.14360680948264,1.28132903888681
"10","CTI",15,1,19.63,12,3.8,6.4,0.0422,0.626831686871735,-1.16332682667187,-0.191063524655048,0.408087839545098,-0.57329844539567,0.989673880907704,-0.0559807529117377,0.56237883003511
