N,Season,SP,W,CL,PCL,DL,ML,PCL_CL,DL_CL,ML_CL
85,rainy,C_lon,5,16,10,5,9,0.63,0.31,0.56
86,rainy,C_lon,5,17,10,5,9,0.59,0.29,0.53
87,winter,C_lon,11,23,14,9,13,0.61,0.39,0.57
88,winter,C_lon,8,22,11,7,10.5,0.5,0.32,0.48
89,winter,C_lon,9,25,12,7,10,0.48,0.28,0.4
90,winter,C_lon,1,12,8,3,7,0.67,0.25,0.58
91,winter,C_lon,15,27,15,7,14,0.56,0.26,0.52
92,winter,C_lon,15,23,16,10,14,0.7,0.43,0.61
93,winter,C_lon,3,16,9,4,7,0.56,0.25,0.44
94,winter,C_lon,6,21,10,6,10,0.48,0.29,0.48
95,winter,C_lon,5,21,10,7,10,0.48,0.33,0.48
96,winter,C_lon,6,21,9.5,5,8,0.45,0.24,0.38
97,winter,C_lon,16,26,15,10,12.5,0.58,0.38,0.48
98,winter,C_lon,7,23,12,8,10,0.52,0.35,0.43
99,winter,C_lon,11,22,14,8,12,0.64,0.36,0.55
100,winter,C_lon,20,29,19,11,16,0.66,0.38,0.55
101,winter,C_lon,8,19,10,6.5,10,0.53,0.34,0.53
102,winter,C_lon,6,18,9.5,5,8,0.53,0.28,0.44
103,winter,C_lon,3,15,10,4,7,0.67,0.27,0.47
104,winter,C_lon,5,17,9,4,9,0.53,0.24,0.53
105,winter,C_lon,5,15,9,5,9,0.6,0.33,0.6
106,winter,C_lon,1,16,9,6.5,7,0.56,0.41,0.44
107,winter,C_lon,9,22,12,8,12,0.55,0.36,0.55
108,winter,C_lon,10,23,16,10,15,0.7,0.43,0.65
109,winter,C_lon,12,25,17,11,14,0.68,0.44,0.56
110,winter,C_lon,3,17,9,4,8,0.53,0.24,0.47
111,winter,C_lon,1,10,7,3,6,0.7,0.3,0.6
112,winter,C_lon,2,15,10,4,10,0.67,0.27,0.67
113,winter,C_lon,2,15,10,5,10,0.67,0.33,0.67
114,winter,C_lon,4,17,9,5,9,0.53,0.29,0.53
115,winter,C_lon,3,14,10,5,8,0.71,0.36,0.57
116,winter,C_lon,1,12,11,7,10,0.92,0.58,0.83
117,winter,C_lon,9,24,12,8,11,0.5,0.33,0.46
118,winter,C_lon,8,19,10,5,9,0.53,0.26,0.47
119,winter,C_lon,2,12,12,4,10,1,0.33,0.83
120,winter,C_lon,6,18,11,7,10,0.61,0.39,0.56
121,winter,C_lon,9,21,13,9,10,0.62,0.43,0.48
122,winter,C_lon,3,11,9,5,9,0.82,0.45,0.82
123,winter,C_lon,7,22,14,10,15,0.64,0.45,0.68
124,winter,C_lon,12,25,15,8,12,0.6,0.32,0.48
125,winter,C_lon,11,22,16,10,14,0.73,0.45,0.64
126,winter,C_lon,3,15,9,5,7,0.6,0.33,0.47
