Time,Date,St,rep,Clupeidae,Nemipteridae,Mullidae,Apogonidae,Gobiidae,Platycephalidae,Gerreidae,Scorpaenidae,Callionymidae,Sillaginidae,Carangidae,Atherinidae,Pomacentridae,Bothidae ,Engraulidae,Ambassidae,Unknown
5,Jun19,KK,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.01,0.00,0.00,0.00,0.00,0.00
5,Jun19,KK,2,31.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Aug19,MN,1,0.00,0.00,0.00,9.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.29,0.00,0.00,0.00
6,Aug19,MN,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.14,0.00,0.00
6,Aug19,MR,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.52,0.00,0.00
6,Aug19,MR,2,0.00,0.00,0.00,0.00,25.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Aug19,TK,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.12,0.00
6,Aug19,TK,2,0.00,0.00,0.00,0.00,0.00,0.00,18.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.23,0.00,0.00
6,Aug19,KK,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.94,0.00
6,Aug19,KK,3,0.00,0.00,0.00,0.00,0.00,0.00,11.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.78,0.00,0.00
