No,place,V102,V103,V104,V105,V1061,V1062,V1063,V1064,V1065,V107,V1081,V1082,V1091,V1092,V1093,V1094,V1095,V1096,V1097,V1101,V1102,V1103,V1104,V1105,V1106,V1107,V1108,V1109,V112,V113,V201,V202,V203,V204,V2051,V2052,V2053,V2054,V2055,V2056,V2057,V2061,V2062,V2063,V2064,V2065,V2066,V2067,V2068,V2069,V20610,V20611,V2071,V2072,V2073,V2074,V2075,V2076,V2077,V2078,V2079,V20792,V20710,V301,V302,V303,V304,V401,V402,V404
B26,MR,37,2,3,2,20,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,2,3,4,,,4
B27,MR,30,1,4,1,20,20,,,,2,1,,2,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
B28,MR,60,1,1,2,40,40,,,,1,1,,1,,,,,,,,,,,,,,,,1,1,2,1,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,1,1,2,,,
B29,MR,50,1,2,1,20,20,,,,1,1,,1,,,1,4,,,,,,,,,,,,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
B30,MR,57,1,1,1,50,30,,,,1,1,,1,,,1,3,,,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
B31,MR,56,1,,1,40,40,,,,1,1,,1,,,,,1,6,,,1,,,,,,,1,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
A1,KM,66,1,1,1,40,40,,,,1,1,,,,,,,1,5,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,12,2,,,345
A2,KM,51,1,1,2,3,3,,,,1,2,5,,,,,,1,5,,,,,,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A3,KM,33,2,2,1,8,8,,,,1,1,,,,,,,1,6,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,4,5,1,5,5,5,5,5,5,,5,,4,13,2,,,34
A4,KM,65,1,1,2,20,20,,,,2,2,5,,,,,,1,6,,,,,,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A5,KM,34,1,1,1,,,,,10,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,13,2,,,234
A6,KM,32,1,1,1,,,,,10,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,3,2,,,34
