Time,Date,St,Rep,NH3,NO2,NO3,PO4,Si,Depth,pH,Temp,Salinity,DO
5,Jun19,KK,3,0.0134,0.0033,0.0033,0.0137,0.3149,4.5,7.2,31.5,23,6.63
6,Aug19,MN,1,0.0083,0.0038,0.0167,0.0212,0.7754,5.4,8.4,29.3,18,5.41
6,Aug19,MN,2,0.0008,0.0036,0.0071,0.0192,1.002,5.4,8.41,29.3,18,5.4
6,Aug19,MN,3,0.0033,0.0035,0.0041,0.0149,0.8877,5.4,8.39,29.3,18,5.4
6,Aug19,MR,1,0.0031,0.0037,0.0031,0.0147,0.4372,5.6,7.98,29.2,14,6
6,Aug19,MR,2,0.0012,0.0036,-0.0004,0.0156,0.4215,5.7,8.03,29.2,14,5.99
6,Aug19,MR,3,0.001,0.0037,0.0035,0.0159,0.5314,5.7,8.07,29.3,14,6
6,Aug19,TK,1,0.0041,0.0037,0.0062,0.0183,0.5159,5.3,8.13,29.4,13,5.4
6,Aug19,TK,2,0.0012,0.0039,0.0063,0.0135,0.4404,5.5,8.15,29.4,15,5.53
6,Aug19,TK,3,0.0066,0.0036,0.0056,0.0144,0.4524,5.4,8.15,29.4,15,5.5
6,Aug19,KK,1,0.0101,0.0032,0.0011,0.0137,0.3869,4.8,8.13,29.3,19,5.39
6,Aug19,KK,2,0.0098,0.0031,0.0013,0.0142,0.3808,4.9,8.17,29.3,19,5.4
6,Aug19,KK,3,0.00995,0.00315,0.0012,0.01395,0.38385,4.8,8.17,29.3,19,5.4
