Month,Batch,Distance,No,Length,Width
Mar,27,130,33,1.2,1.7
Mar,28,10,1,1,1.1
Mar,28,10,2,0.9,1
Mar,28,10,3,0.4,0.8
Mar,28,40,1,1.2,2.2
Mar,28,40,2,0.5,2.8
Mar,28,40,3,0.8,1.2
Mar,28,40,4,1.5,2.4
Mar,28,40,5,0.6,1.4
Mar,28,40,6,2,2.3
Mar,28,40,7,1.2,1.5
Mar,28,40,8,0.3,0.7
Mar,28,70,1,2,2.5
Mar,28,70,2,0.4,0.7
Mar,28,70,3,0.3,0.7
Mar,28,70,4,0.2,0.3
Mar,28,70,5,0.2,0.3
Mar,28,100,1,0.7,0.9
Mar,28,100,2,1,1.6
Mar,28,100,3,0.5,0.7
Mar,28,100,4,0.9,1
Mar,28,100,5,0.3,0.5
Mar,28,100,6,0.7,1.2
Mar,28,100,7,0.5,0.7
Mar,28,100,8,0.7,0.9
Mar,28,100,9,0.9,1
Mar,28,100,10,0.4,0.7
Mar,28,100,11,0.5,0.4
Mar,28,130,1,0.4,0.5
Mar,28,130,2,0.4,0.8
Mar,28,130,3,0.4,0.6
Mar,28,130,4,0.7,0.9
Mar,28,130,5,0.2,1
Mar,28,130,6,0.2,0.6
Mar,28,130,7,0.6,0.9
Mar,28,130,8,0.4,0.8
Mar,28,130,9,0.5,0.7
Mar,28,130,10,0.5,0.6
Mar,28,130,11,0.4,0.9
Mar,28,130,12,0.9,1.3
Mar,28,130,13,0.6,0.9
Mar,28,130,14,0.8,1
Mar,28,130,15,0.2,0.5
Mar,28,130,16,0.5,0.6
Mar,28,130,17,0.5,0.7
Mar,28,130,18,0.6,0.9
Mar,28,130,19,0.4,0.5
Mar,28,130,20,0.6,0.8
Mar,28,130,21,1,1.2
Mar,28,130,22,0.5,0.9
Mar,28,130,23,0.5,0.9
Mar,28,130,24,0.7,1
Mar,28,130,25,0.2,0.7
Mar,28,130,26,0.7,1.2
Mar,28,130,27,0.5,0.7
Mar,28,130,28,0.3,0.4
Mar,28,130,29,0.5,1
Mar,28,130,30,0.2,0.6
Mar,28,130,31,0.3,0.4
Mar,28,130,32,0.8,0.9
Mar,28,130,33,0.7,0.9
Mar,28,130,34,0.6,1
Mar,28,130,35,0.6,1
Mar,28,130,36,1.2,0.5
Mar,28,130,37,0.8,0.9
Mar,28,130,38,1,1.3
Mar,28,130,39,1.7,0.7
Mar,28,130,40,0.6,0.5
Mar,28,130,41,1,0.5
Mar,28,130,42,0.9,0.5
Mar,28,130,43,0.5,0.9
Mar,28,130,44,0.4,1
Mar,29,40,1,2,2.7
Mar,29,40,2,1.9,1.9
Mar,29,70,1,2.5,2.4
Mar,29,70,2,2.3,3
Mar,29,70,3,2.9,3
Mar,29,100,1,1.7,1.8
Mar,29,100,2,1.5,1.4
Mar,29,100,3,1.2,1.5
Mar,29,100,4,1,1.2
Mar,29,100,5,0.9,1.1
Mar,29,100,6,1,1.5
Mar,29,100,7,1.7,2.5
Mar,29,100,8,1.5,2
Mar,29,100,9,1.1,1.5
Mar,29,100,10,1.6,1.5
Mar,29,100,11,1.7,1.1
Mar,29,100,12,1,1.5
Mar,29,100,13,1.3,1.7
Mar,29,130,1,1.5,2
Mar,29,130,2,1.7,1.8
Mar,29,130,3,1.2,1.4
Mar,29,130,4,1,1.1
Mar,29,130,5,1.7,2
Mar,29,130,6,0.7,1
Mar,29,130,7,1.1,0.9
Mar,29,130,8,0.7,1.5
Mar,29,130,9,0.8,1.1
Mar,29,130,10,1.5,1.4
Mar,29,130,11,1,1.2
Mar,29,130,12,1,1.5
Mar,29,130,13,0.9,1.2
Mar,29,130,14,1.2,2.2
Mar,29,130,15,1,1.1
Mar,29,130,16,1,2
Mar,29,130,17,0.9,1
Mar,29,130,18,1,1
Mar,29,130,19,1,1.5
Mar,29,130,20,1.5,0.9
Mar,29,130,21,0.9,0.9
Mar,30,40,1,2.2,2.3
Mar,30,40,2,1.5,1.3
Mar,30,40,3,1.9,2
Mar,30,40,4,1.5,1.7
Mar,30,40,5,1.5,1.4
Mar,30,40,6,1.2,1.5
Mar,30,40,7,2.9,2.5
Mar,30,100,1,1.5,1.8
Mar,30,100,2,1.1,1.5
Mar,30,100,3,1.2,1.7
Mar,30,100,4,1.1,1.5
Mar,30,100,5,1.7,1.5
Mar,30,100,6,1.2,1.5
Mar,30,100,7,1.1,1.5
Mar,30,100,8,1.5,1.5
Mar,30,100,9,2,1.1
Mar,30,100,10,1.1,1
Mar,30,100,11,1.5,2
Mar,30,100,12,0.8,1
Mar,30,100,13,1.1,2.5
Mar,30,100,14,1.1,2
Mar,30,100,15,2,2.8
Mar,30,100,16,1.1,1.7
Mar,30,100,17,1.2,1.7
Mar,30,100,18,1.7,2.5
Mar,30,130,1,1,1.1
Mar,30,130,2,1.5,1.4
Mar,30,130,3,1.1,1.2
Mar,30,130,4,1.7,1.7
Mar,30,130,5,0.7,1
Mar,30,130,6,0.8,1.1
Mar,30,130,7,1,1.2
Mar,30,130,8,1.9,1
Mar,30,130,9,0.7,1
Mar,30,130,10,0.9,0.8
Mar,30,130,11,0.7,1.1
Mar,31,40,1,1.8,2.3
Mar,31,40,2,1.6,2.9
Mar,31,40,3,2.6,3
Mar,31,40,4,1,1.2
Mar,31,40,5,0.6,1.2
Mar,31,40,6,2,3.2
Mar,31,40,7,1.5,2
Mar,31,70,1,2,2.4
Mar,31,70,2,1.9,2
Mar,31,70,3,3,3.2
Mar,31,70,4,0.5,1
Mar,31,70,5,0.5,1
Mar,31,70,6,1,2
Mar,31,70,7,1.4,2
Mar,31,100,1,2.6,3
Mar,31,100,2,3,4
Mar,31,100,3,0.6,1
Mar,31,100,4,3.7,3.7
Mar,31,100,5,1,1.2
Mar,31,100,6,1,1
Mar,31,100,7,2.4,3
Mar,31,100,8,0.5,0.9
Mar,31,100,9,0.4,1.5
Mar,31,100,10,0.6,1
Mar,31,100,11,2,3.3
Mar,31,100,12,2.5,3
Mar,31,100,13,0.5,0.7
Mar,31,130,1,0.4,0.6
Mar,31,130,2,0.2,0.6
Mar,31,130,3,0.4,0.6
Mar,31,130,4,0.6,1
Mar,31,130,5,0.4,1.2
Mar,31,130,6,0.3,0.6
Mar,31,130,7,0.7,0.8
Mar,31,130,8,0.7,1
Mar,31,130,9,0.5,1
Mar,31,130,10,0.4,0.9
Mar,31,130,11,0.6,0.9
Mar,31,130,12,0.4,0.6
Mar,31,130,13,0.5,0.7
Mar,31,130,14,1,1.2
Mar,31,130,15,0.4,0.7
Mar,31,130,16,0.4,0.9
Mar,31,130,17,0.4,0.7
Mar,31,130,18,0.4,1
Mar,31,130,19,0.7,1
Mar,31,130,20,0.9,1.2
Mar,31,130,21,0.4,1
Mar,31,130,22,0.3,0.7
Mar,31,130,23,0.3,0.7
Mar,31,130,24,0.6,0.9
Mar,31,130,25,0.6,1
Mar,31,130,26,0.7,1
Mar,31,130,27,0.3,0.9
Mar,31,130,28,0.3,0.6
Mar,31,130,29,0.7,1
Mar,31,130,30,0.3,0.7
Mar,31,130,31,0.4,0.6
Mar,31,130,32,0.6,0.9
Mar,31,130,33,0.7,1
Mar,31,130,34,1,1.5
Mar,31,130,35,0.7,0.8
Mar,31,130,36,0.8,1.2
Mar,31,130,37,0.2,0.5
Mar,31,130,38,0.8,1
Mar,31,130,39,0.4,0.1
Mar,31,130,40,1.5,0.7
Mar,31,130,41,0.1,0.2
Mar,31,130,42,0.2,0.2
Mar,31,130,43,0.5,1.1
Mar,31,130,44,0.5,0.8
Mar,31,130,45,0.2,0.5
Mar,31,130,46,0.5,0.7
Mar,31,130,47,0.5,0.7
Mar,31,130,48,0.3,0.5
Mar,31,130,49,0.4,1.2
Mar,32,40,1,1,1.3
Mar,32,40,2,1.2,1.3
Mar,32,70,1,2.2,2.7
Mar,32,70,2,2,2.5
Mar,32,70,3,1.2,1.5
Mar,32,70,4,0.9,1.1
Mar,32,70,5,1,1.7
Mar,32,100,1,1,1.5
Mar,32,100,2,0.9,1.1
Mar,32,100,3,3,3.5
Mar,32,100,4,1.1,1.5
Mar,32,100,5,1.3,0.9
Mar,32,100,6,0.9,1.5
Mar,32,100,7,0.7,1.4
Mar,32,100,8,1,1.1
Mar,32,100,9,1.5,2.1
Mar,32,100,10,1.4,2
Mar,32,100,11,1.1,1.5
Mar,32,100,12,1,1.4
Mar,32,100,13,1.1,1.7
Mar,32,100,14,1.8,2.5
Mar,32,100,15,2.5,1.7
Mar,32,100,16,1.7,1.9
Mar,32,100,17,0.7,1.5
Mar,32,100,18,1,1.1
Mar,32,100,19,1.7,2.5
Mar,32,130,1,1.5,1.7
Mar,32,130,2,1,1.4
Mar,32,130,3,0.7,1.3
Mar,32,130,4,0.8,1
Mar,32,130,5,0.7,1
Mar,32,130,6,0.9,1
Mar,32,130,7,1,1.2
Mar,32,130,8,1.5,2.2
Mar,32,130,9,1.3,1.2
Mar,32,130,10,1.1,1
Mar,32,130,11,0.5,1
Mar,32,130,12,1.1,1.5
Mar,32,130,13,0.9,1.1
Mar,32,130,14,3,3
Mar,32,130,15,1.3,1.2
Mar,32,130,16,0.8,1
Mar,32,130,17,0.7,1
Mar,32,130,18,0.8,1.3
Mar,32,130,19,0.7,2
Mar,33,10,1,1,1.3
Mar,33,10,2,1.5,1.5
Mar,33,40,1,1.6,2.3
Mar,33,40,2,2,2.7
Mar,33,40,3,0.9,1.2
Mar,33,40,4,1,1
Mar,33,40,5,2,3
Mar,33,40,6,1.8,1.7
Mar,33,70,1,3,3.5
Mar,33,70,2,3,2.9
Mar,33,70,3,1.5,2.5
Mar,33,70,4,1.4,2.5
Mar,33,70,5,1.3,2
Mar,33,70,6,2,3
Mar,33,70,7,2,2.9
Mar,33,100,1,1.9,1.9
Mar,33,100,2,2.3,3
Mar,33,100,3,2.1,2.5
Mar,33,100,4,1.1,1.2
Mar,33,100,5,2,3.5
Mar,33,100,6,2.7,3.7
Mar,33,100,7,1.1,1.2
Mar,33,130,1,1,2
Mar,33,130,2,0.7,0.8
Mar,33,130,3,0.6,1
Mar,33,130,4,0.7,1
Mar,33,130,5,0.7,1
Mar,33,130,6,1,1.3
Mar,33,130,7,1.3,1.5
Mar,33,130,8,1.9,1.1
Mar,33,130,9,0.7,1.2
Mar,33,130,10,0.7,1
Mar,33,130,11,1.1,1
Mar,33,130,12,1.3,1.1
Mar,33,130,13,1,0.7
Mar,33,130,14,1.2,0.5
Mar,33,130,15,1.1,0.9
Mar,33,130,16,1.5,0.7
Mar,33,130,17,1,1
Mar,33,130,18,1.1,0.7
Mar,34,40,1,2,1.9
Mar,34,40,2,1.1,1.2
Mar,34,70,1,2.5,3.5
Mar,34,70,2,1.2,1.5
Mar,34,70,3,1,1.3
Mar,34,70,4,1.7,2
Mar,34,70,5,2,3
Mar,34,70,6,1.5,1.4
Mar,34,70,7,1.2,1.1
Mar,34,70,8,1.1,1.1
Mar,34,100,1,1,1.5
Mar,34,100,2,1.3,1.5
Mar,34,100,3,1.7,3.3
Mar,34,100,4,2.5,3
Mar,34,100,5,1.2,1.4
Mar,34,100,6,1.7,3.5
Mar,34,100,7,1.2,1.7
Mar,34,100,8,1,1.1
Mar,34,100,9,1.3,1.7
Mar,34,100,10,2,3.3
Mar,34,130,1,0.7,0.8
Mar,34,130,2,1.9,1
Mar,34,130,3,1.2,1.5
Mar,34,130,4,2,0.7
Mar,34,130,5,0.9,1
Mar,34,130,6,0.6,1
Mar,34,130,7,1.5,2
Mar,34,130,8,1.7,1
Mar,34,130,9,0.7,1.4
Mar,34,130,10,0.9,1.1
Mar,34,130,11,1.1,0.6
Mar,34,130,12,1,1.7
Mar,34,130,13,1,0.9
Mar,34,130,14,0.7,1.1
Mar,34,130,15,0.9,1.1
Mar,34,130,16,1.2,1.3
Mar,34,130,17,1.9,1.1
Mar,34,130,18,1.2,1.2
Mar,34,130,19,1.3,1.9
Mar,34,130,20,2.5,0.7
Mar,34,130,21,1,1
Mar,34,130,22,1,1.2
Mar,34,130,23,1.1,2.6
Mar,34,130,24,1.1,1.5
Mar,35,10,1,0.5,0.6
Mar,35,10,2,0.5,0.6
Mar,35,40,1,0.7,0.9
Mar,35,40,2,1,1.2
Mar,35,40,3,1.7,1.9
Mar,35,40,4,1,0.8
Mar,35,40,5,0.5,0.6
Mar,35,70,1,1.6,1.6
Mar,35,70,2,0.8,0.7
Mar,35,70,3,2,2.5
Mar,35,70,4,2,2.8
Mar,35,70,5,1.9,2.4
Mar,35,70,6,0.5,0.7
Mar,35,70,7,0.4,1.5
Mar,35,100,1,0.8,1
Mar,35,100,2,2,3
Mar,35,100,3,2,3.5
Mar,35,100,4,1,0.7
Mar,35,100,5,0.7,1
Mar,35,100,6,2,2.4
Mar,35,100,7,2.9,3
Mar,35,100,8,0.7,1
Mar,35,100,9,0.6,0.9
Mar,35,100,10,1.2,1.9
Mar,35,100,11,1.4,1.5
Mar,35,100,12,0.9,2
Mar,35,100,13,,
Mar,35,130,1,2,2.3
Mar,35,130,2,0.8,0.4
Mar,35,130,3,0.7,0.8
Mar,35,130,4,1,1.4
Mar,35,130,5,0.6,1
Mar,35,130,6,1.5,1.8
Mar,35,130,7,1,1.4
Mar,35,130,8,0.8,1
Mar,35,130,9,1,1.2
Mar,35,130,10,1.6,2
Mar,35,130,11,1.5,1.7
Mar,35,130,12,1.7,2.1
Mar,35,130,13,1.7,1.9
Mar,35,130,14,0.9,1.5
Mar,35,130,15,1.4,1.8
Mar,35,130,16,0.7,0.8
Mar,35,130,17,1.3,1.6
Mar,35,130,18,1.1,1.2
Mar,35,130,19,1,1.2
Mar,35,130,20,1,1
Mar,35,130,21,1.5,1.5
Mar,35,130,22,0.9,1
Mar,35,130,23,1,1.4
Mar,35,130,24,0.6,1.1
Mar,36,10,1,0.4,0.6
Mar,36,40,1,3,3.1
Mar,36,40,2,0.5,0.7
Mar,36,40,3,0.4,0.7
Mar,36,40,4,0.3,0.5
Mar,36,40,5,1.5,1.7
Mar,36,40,6,0.5,0.9
Mar,36,40,7,0.9,1
Mar,36,40,8,0.5,0.6
Mar,36,40,9,0.4,0.7
Mar,36,70,1,1.2,1.3
Mar,36,70,2,1.4,1.9
Mar,36,70,3,0.7,0.9
Mar,36,70,4,1,1.4
Mar,36,70,5,0.5,0.7
Mar,36,70,6,1,1.4
Mar,36,70,7,0.7,0.9
Mar,36,70,8,1.2,1.3
Mar,36,70,9,0.7,1.1
Mar,36,70,10,0.6,1
Mar,36,100,1,1.9,3.2
Mar,36,100,2,1.7,2.2
Mar,36,100,3,1,1.5
Mar,36,100,4,0.6,1
Mar,36,100,5,1.5,2
Mar,36,100,6,1,1.2
Mar,36,100,7,0.7,0.9
Mar,36,100,8,2,2.2
Mar,36,100,9,0.7,0.9
Mar,36,100,10,0.6,0.8
Mar,36,100,11,1.2,1.3
Mar,36,100,12,0.8,1
Mar,36,100,13,1.5,1.9
Mar,36,100,14,1,1.2
Mar,36,100,15,1,1.5
Mar,36,100,16,1.2,1.5
Mar,36,100,17,0.9,3
Mar,36,100,18,0.7,0.8
Mar,36,100,19,1.2,1
Mar,36,100,20,1,1.9
Mar,36,130,1,0.5,0.7
Mar,36,130,2,0.3,0.7
Mar,36,130,3,0.3,0.7
Mar,36,130,4,0.5,0.8
Mar,36,130,5,0.6,0.8
Mar,36,130,6,0.6,1
Mar,36,130,7,0.4,1
Mar,36,130,8,0.5,0.8
Mar,36,130,9,0.6,0.9
Mar,36,130,10,0.5,0.9
Mar,36,130,11,0.9,1.1
Mar,36,130,12,0.5,0.9
Mar,36,130,13,0.2,0.6
Mar,36,130,14,0.4,0.9
Mar,36,130,15,1,1.2
Mar,36,130,16,1.5,1.7
Mar,36,130,17,0.5,1.2
Mar,36,130,18,1.5,1.7
Mar,36,130,19,0.5,0.7
Mar,36,130,20,0.3,0.6
Mar,36,130,21,0.6,0.8
Mar,36,130,22,0.3,0.9
Mar,36,130,23,0.6,0.9
Mar,36,130,24,0.5,0.9
Mar,36,130,25,0.3,0.8
Mar,36,130,26,0.4,0.7
Mar,36,130,27,0.6,1
Mar,36,130,28,0.6,0.8
Mar,36,130,29,0.4,0.7
Mar,36,130,30,0.2,0.7
Mar,36,130,31,0.4,0.5
Mar,36,130,32,0.5,0.9
Mar,36,130,33,0.2,0.5
Mar,36,130,34,0.7,0.7
Mar,36,130,35,0.8,0.9
Mar,36,130,36,0.5,0.7
Mar,36,130,37,0.5,0.7
Mar,36,130,38,0.7,0.8
Mar,36,130,39,0.6,0.9
Mar,36,130,40,0.3,0.6
Mar,36,130,41,0.5,1.2
Mar,36,130,42,0.5,0.6
Mar,36,130,43,0.6,0.7
Mar,36,130,44,0.5,0.8
Mar,36,130,45,0.5,1
Mar,36,130,46,0.9,1
Mar,36,130,47,0.6,1
Mar,36,130,48,0.7,1
Mar,36,130,49,0.4,0.8
Mar,36,130,50,0.5,0.6
Mar,36,130,51,0.4,0.9
Mar,36,130,52,0.8,0.9
Mar,36,130,53,0.5,0.9
Mar,36,130,54,0.7,0.8
Mar,36,130,55,0.8,1.2
Mar,36,130,56,0.2,0.5
Mar,37,10,1,1,1.5
Mar,37,10,2,1.5,1.7
Mar,37,40,1,0.4,4
Mar,37,40,2,4.2,1.3
Mar,37,40,3,1,1.2
Mar,37,40,4,0.4,0.6
Mar,37,40,5,0.5,0.7
Mar,37,40,6,0.5,0.7
Mar,37,70,1,2,2
Mar,37,70,2,1.5,1.7
Mar,37,70,3,2.2,2.7
Mar,37,70,4,2.3,2.4
Mar,37,70,5,1.7,2.3
Mar,37,10,1,3,3
Mar,37,10,2,1.1,3
Mar,37,10,3,3,3.6
Mar,37,10,4,1.6,1.8
Mar,37,10,5,0.7,0.9
Mar,37,10,6,0.9,0.7
Mar,37,10,7,1.4,2
Mar,37,10,8,2,3
Mar,37,10,9,0.9,1.1
Mar,37,10,10,1.7,2
Mar,37,10,11,3,3
Mar,37,130,1,0.9,1.2
Mar,37,130,2,0.5,0.6
Mar,37,130,3,0.7,1.1
Mar,37,130,4,0.7,0.8
Mar,37,130,5,1,1.1
Mar,37,130,6,0.4,1.4
Mar,37,130,7,0.4,0.6
Mar,37,130,8,0.3,0.5
Mar,37,130,9,0.7,1.1
Mar,37,130,10,0.4,1
Mar,37,130,11,0.6,0.6
Mar,37,130,12,0.6,0.7
Mar,37,130,13,0.5,1
Mar,37,130,14,0.6,1
Mar,37,130,15,0.5,1
Mar,37,130,16,0.6,1
Mar,37,130,17,0.3,0.7
Mar,37,130,18,0.2,0.8
Mar,37,130,19,0.5,0.7
Mar,37,130,20,0.3,0.6
Mar,37,130,21,0.5,0.7
Mar,37,130,22,0.3,0.6
Mar,37,130,23,0.5,0.9
Mar,37,130,24,0.4,0.6
Mar,37,130,25,0.2,0.3
Mar,37,130,26,0.4,0.6
Mar,37,130,27,0.8,1
Mar,37,130,28,0.4,0.6
Mar,37,130,29,0.5,0.6
Mar,37,130,30,0.7,1
Mar,38,10,1,0.1,0.1
Mar,38,40,1,1,1.1
Mar,38,40,2,2.5,3.5
Mar,38,40,3,3,3.6
Mar,38,40,4,2,2.9
Mar,38,70,1,1.5,2
Mar,38,70,2,1.4,1.2
Mar,38,70,3,1.2,1.9
Mar,38,70,4,1.9,2.5
Mar,38,100,1,1.9,2.1
Mar,38,100,2,1.7,2
Mar,38,100,3,1.5,3
Mar,38,100,4,2.1,3.1
Mar,38,100,5,1.5,3.4
Mar,38,100,6,0.7,1.1
Mar,38,100,7,1.1,1.2
Mar,38,100,8,0.6,1.3
Mar,38,130,1,1,1.1
Mar,38,130,2,0.6,1
Mar,38,130,3,1,0.9
Mar,38,130,4,1,1
Mar,38,130,5,1.7,1.1
Mar,38,130,6,0.7,1
Mar,38,130,7,0.6,1.1
Mar,38,130,8,0.5,1
Mar,38,130,9,0.6,1
Mar,38,130,10,0.7,1.1
Mar,38,130,11,1,1.1
Mar,38,130,12,1,1.2
Mar,38,130,13,1,1.1
Mar,38,130,14,1,1.2
Mar,38,130,15,1,1.2
Mar,38,130,16,1,1.1
Mar,38,130,17,0.7,1
Mar,38,130,18,1.1,0.9
Mar,38,130,19,0.6,1
Mar,38,130,20,1,1.1
Mar,38,130,21,1.1,1.3
Mar,38,130,22,1.1,1
Mar,38,130,23,1.5,2
Mar,39,40,1,1.6,1.9
Mar,39,70,1,0.6,0.9
Mar,39,70,2,0.2,0.8
Mar,39,70,3,0.5,1
Mar,39,70,4,2,2.3
Mar,39,70,5,2.7,2.3
Mar,39,70,6,2.3,2.5
Mar,39,70,7,2.5,3.2
Mar,39,70,8,1.5,3.5
Mar,39,100,1,2,3
Mar,39,100,2,2.5,3.2
Mar,39,100,3,0.5,1
Mar,39,100,4,0.3,0.9
Mar,39,100,5,0.4,0.7
Mar,39,100,6,0.4,0.5
Mar,39,100,7,0.4,0.6
Mar,39,100,8,0.6,0.6
Mar,39,100,9,0.6,1
Mar,39,100,10,0.8,1
Mar,39,100,11,1.5,2
Mar,39,100,12,1.5,2.5
Mar,39,100,13,2,2.7
Mar,39,100,14,1,1.2
Mar,39,100,15,0.9,0.8
Mar,39,130,1,0.5,0.7
Mar,39,130,2,0.5,0.7
Mar,39,130,3,0.8,0.4
Mar,39,130,4,0.4,0.8
Mar,39,130,5,0.6,0.8
Mar,39,130,6,0.4,0.6
Mar,39,130,7,0.2,0.5
Mar,39,130,8,0.3,0.5
Mar,39,130,9,0.5,0.6
Mar,39,130,10,0.5,0.6
Mar,39,130,11,0.7,0.7
Mar,39,130,12,0.4,0.7
Mar,39,130,13,0.3,0.5
Mar,39,130,14,0.3,0.5
Mar,39,130,15,0.9,1.5
Mar,39,130,16,0.8,1
Mar,39,130,17,0.9,0.9
Mar,39,130,18,0.2,0.5
Mar,39,130,19,0.9,1
Mar,39,130,20,0.3,0.5
Mar,39,130,21,0.4,0.7
Mar,39,130,22,0.5,0.9
Mar,39,130,23,0.8,1.2
Mar,39,130,24,0.6,0.7
Mar,39,130,25,0.6,1
Mar,39,130,26,0.6,0.9
Mar,39,130,27,1.6,1.9
Mar,39,130,28,0.9,1.2
Mar,39,130,29,0.7,0.8
Mar,39,130,30,0.4,0.9
Mar,39,130,31,0.7,0.7
Mar,39,130,32,1.2,0.7
Mar,39,130,33,1,0.3
Mar,39,130,34,0.3,0.4
Mar,39,130,35,0.5,0.7
Mar,39,130,36,0.4,0.5
Mar,39,130,37,0.6,0.6
Mar,39,130,38,0.3,0.5
Mar,40,10,1,2.5,2.5
Mar,40,40,1,2.5,2.7
Mar,40,40,2,2,2.1
Mar,40,40,3,2.5,2.5
Mar,40,70,1,1,1.3
Mar,40,70,2,1.7,2.9
Mar,40,70,3,1.1,1.7
Mar,40,70,4,2,3.3
Mar,40,70,5,1.5,2
Mar,40,70,6,1.5,2.2
Mar,40,70,7,2.5,3.2
Mar,40,70,8,1.5,2.9
Mar,40,100,1,3,4.2
Mar,40,100,2,1.3,1.7
Mar,40,100,3,1,1.3
Mar,40,100,4,1.2,1.4
Mar,40,100,5,1.1,1.5
Mar,40,100,6,1,2
Mar,40,100,7,1,1.6
Mar,40,100,8,0.6,1
Mar,40,100,9,1.5,1.5
Mar,40,130,1,1.4,2
Mar,40,130,2,1,1.1
Mar,40,130,3,0.9,1.2
Mar,40,130,4,0.8,1.5
Mar,40,130,5,1,1.7
Mar,40,130,6,1.5,2.5
Mar,40,130,7,1.5,1.2
Mar,40,130,8,1.1,1.6
Mar,40,130,9,1.4,1.3
Mar,40,130,10,1.5,2.2
Mar,40,130,11,1,1.6
Mar,40,130,12,1.1,2.5
Apr,1,10,1,1,1.2
Apr,1,10,2,1.5,2.5
Apr,1,10,3,1.5,1.8
Apr,1,70,1,0.9,1.3
Apr,1,130,1,0.9,1.2
Apr,1,130,2,1,1.5
Apr,1,130,3,1.5,1.5
Apr,1,130,4,1.5,1.4
Apr,1,130,5,1,1.2
Apr,1,130,6,0.9,1.4
Apr,1,130,7,0.8,1.2
Apr,1,130,8,0.7,1.4
Apr,1,130,9,1.2,1.4
Apr,1,130,10,0.6,1.2
Apr,1,130,11,0.6,0.8
Apr,1,130,12,0.9,0.3
Apr,1,130,13,0.8,1
Apr,1,130,14,1.1,1.4
Apr,1,130,15,0.6,0.8
Apr,1,130,16,0.9,1.3
Apr,1,130,17,1,1.1
Apr,1,130,18,0.9,1
Apr,1,130,19,1,1.2
Apr,1,130,20,1.1,1.4
Apr,1,130,21,1.5,1.4
Apr,1,130,22,0.7,1.2
Apr,1,130,23,0.8,0.9
Apr,1,130,24,0.9,1.2
Apr,1,130,25,0.8,1.1
Apr,1,130,26,1.1,1.5
Apr,1,130,27,0.7,1.2
Apr,1,130,28,0.6,1.1
Apr,1,130,29,1,1.5
Apr,1,130,30,1.2,1.4
Apr,1,130,31,0.9,1.4
Apr,1,130,32,0.7,1.2
Apr,1,130,33,1,1.5
Apr,1,130,34,0.8,0.2
Apr,1,130,35,0.9,1.2
Apr,1,130,36,0.9,1.2
Apr,1,130,37,1.2,1.5
Apr,1,130,38,1,1.4
Apr,1,130,39,1.1,1.4
Apr,1,130,40,1.2,1.4
Apr,1,130,41,0.7,1.2
Apr,1,130,42,0.8,1.1
Apr,1,130,43,0.9,1.4
Apr,1,130,44,1,1.1
Apr,1,130,45,0.9,1.3
Apr,1,130,46,0.9,1.2
Apr,1,130,47,1.4,1.7
Apr,1,130,48,0.9,1.8
Apr,1,130,49,0.6,1.4
Apr,1,130,50,0.9,1.5
Apr,2,10,1,0.5,1
Apr,2,10,2,1,2
Apr,2,10,3,1,1.3
Apr,2,10,4,1.5,1
Apr,2,10,5,0.5,1
Apr,2,40,1,0.5,0.7
Apr,2,100,1,1,1.4
Apr,2,130,1,1,1.2
Apr,2,130,2,0.4,1
Apr,2,130,3,0.5,1
Apr,2,130,4,0.3,1
Apr,2,130,5,0.6,1.3
Apr,2,130,6,0.5,0.9
Apr,2,130,7,0.7,1.3
Apr,2,130,8,0.3,0.6
Apr,2,130,9,0.2,0.6
Apr,2,130,10,0.6,0.9
Apr,2,130,11,0.2,0.5
Apr,2,130,12,0.4,0.6
Apr,2,130,13,0.5,0.6
Apr,2,130,14,0.4,0.7
Apr,2,130,15,0.3,1
Apr,2,130,16,0.5,0.9
Apr,2,130,17,1.7,1.4
Apr,2,130,18,0.5,0.9
Apr,2,130,19,0.4,0.9
Apr,2,130,20,0.3,0.5
Apr,2,130,21,0.5,0.7
Apr,2,130,22,0.3,1
Apr,2,130,23,0.5,1
Apr,2,130,24,0.3,0.7
Apr,2,130,25,0.3,0.9
Apr,2,130,26,0.5,1
Apr,2,130,27,0.9,1.3
Apr,2,130,28,0.3,0.5
Apr,2,130,29,0.4,0.9
Apr,2,130,30,0.6,1.2
Apr,2,130,31,0.6,0.9
Apr,2,130,32,0.3,0.6
Apr,2,130,33,0.3,0.6
Apr,2,130,34,0.4,1.7
Apr,2,130,35,0.8,0.9
Apr,2,130,36,0.5,0.8
Apr,2,130,37,0.5,0.9
Apr,2,130,38,0.4,0.3
Apr,2,130,39,0.4,1
Apr,2,130,40,0.9,1.5
Apr,2,130,41,0.4,1
Apr,2,130,42,0.4,1
Apr,2,130,43,0.2,0.5
Apr,2,130,44,0.3,0.6
Apr,2,130,45,0.7,1.1
Apr,2,130,46,0.7,1.2
Apr,2,130,47,0.4,0.7
Apr,2,130,48,0.6,1
Apr,2,130,49,0.2,0.6
Apr,2,130,50,0.2,0.5
Apr,2,130,51,0.6,0.9
Apr,2,130,52,0.2,0.6
Apr,2,130,53,0.4,0.5
Apr,2,130,54,0.5,0.6
Apr,2,130,55,0.2,0.5
Apr,2,130,56,0.4,0.9
Apr,2,130,57,0.5,0.6
Apr,2,130,58,0.2,0.3
Apr,2,130,59,0.2,0.4
Apr,2,130,60,0.2,0.4
Apr,2,130,61,0.9,1.1
Apr,2,130,62,0.4,0.9
