Month,Batch,Distance,No,Length,Width
Jan,10,40,5,1.2,1.3
Jan,10,40,6,3,2.9
Jan,10,40,7,1.3,1.1
Jan,10,40,8,1.5,1.6
Jan,10,40,9,1.1,1
Jan,10,70,1,1,1.3
Jan,10,70,2,2,2.3
Jan,10,70,3,2,2
Jan,10,70,4,1,1
Jan,10,70,5,1.5,2
Jan,10,70,6,1,1
Jan,10,100,1,1.5,1.3
Jan,10,130,1,1.4,1
Jan,10,130,2,1.1,0.9
Jan,10,130,3,2,2.5
Jan,10,130,4,0.6,0.7
Jan,11,10,1,0.6,0.4
Jan,11,40,1,1.1,1
Jan,11,40,2,1.5,1.3
Jan,11,40,3,1.6,1.5
Jan,11,40,4,1.3,1
Jan,11,40,5,1,1.4
Jan,11,40,6,1.1,1
Jan,11,40,7,0.9,0.6
Jan,11,40,8,1.2,1
Jan,11,40,9,0.5,0.6
Jan,11,70,1,3.1,2
Jan,11,70,2,1.7,1.5
Jan,11,70,3,1.2,1
Jan,11,70,4,1.1,1.3
Jan,11,70,5,1.5,2.1
Jan,11,70,6,0.5,0.9
Jan,11,70,7,1.1,1
Jan,11,70,8,1.4,0.9
Jan,11,70,9,1,1.3
Jan,11,70,10,0.9,1.1
Jan,11,100,1,1.2,1
Jan,11,100,2,2.5,2.3
Jan,11,130,1,1.6,0.1
Jan,11,130,2,1.5,1.2
Jan,12,10,1,0.5,0.3
Jan,12,10,2,0.5,0.5
Jan,12,40,1,1.5,1
Jan,12,40,2,1,1.5
Jan,12,70,1,1.5,1
Jan,12,70,2,1,0.4
Jan,12,100,1,4.2,2.5
Jan,12,100,2,2.1,2.8
Jan,12,100,3,3,1.6
Jan,12,100,4,1.4,1.5
Jan,12,130,1,1.1,1.1
Jan,12,130,2,1.2,1.4
Jan,13,10,1,1,1.4
Jan,13,10,2,1.5,1.5
Jan,13,10,3,0.5,0.5
Jan,13,10,4,0.5,0.3
Jan,13,10,5,0.4,0.5
Jan,13,40,1,2,1.5
Jan,13,70,1,1.9,1.7
Jan,13,70,2,1.6,2
Jan,13,70,3,1.1,1
Jan,13,130,1,1.6,2
Jan,13,130,2,2,1.4
Jan,13,130,3,1.5,1
Jan,13,130,4,2,1.9
Jan,13,130,5,1.5,1.4
Jan,13,130,6,1.9,1.3
Jan,13,130,7,0.8,0.9
Jan,14,10,1,0.5,0.4
Jan,14,70,1,1.9,1.7
Jan,14,70,2,1.6,2
Jan,14,70,3,1.1,1
Jan,14,100,1,2.9,3.1
Jan,14,100,2,1.1,1.5
Jan,14,100,3,1.2,1
Jan,14,100,4,1.9,2
Jan,14,100,5,2.5,2
Jan,14,130,1,0.8,0.7
Jan,15,10,1,1,1
Jan,15,40,1,1,1
Jan,15,40,2,1.5,1.5
Jan,15,40,3,0.5,1
Jan,15,70,1,1.5,1.9
Jan,15,70,2,1.4,1.5
Jan,15,70,3,1.3,1.4
Jan,15,70,4,1.7,1.6
Jan,15,100,1,4,2.5
Jan,15,100,2,3.2,2
Jan,15,100,3,2,1.5
Jan,15,100,4,2.1,2
Jan,15,100,5,1.9,1.8
Jan,15,100,6,2.3,2.2
Jan,15,130,1,1.1,1.2
Jan,15,130,2,1.3,0.5
Jan,15,130,3,1,0.7
Jan,16,10,1,1.5,2
Jan,16,40,1,1,0.9
Jan,16,40,2,0.6,1
Jan,16,70,1,1.5,1.5
Jan,16,70,2,1.5,1
Jan,16,70,3,1.6,1.5
Jan,16,70,4,1.2,0.7
Jan,16,70,5,0.8,1
Jan,16,70,6,0.9,1.9
Jan,16,70,7,1.6,1.8
Jan,16,70,8,1.5,1.9
Jan,16,70,9,2.1,1.4
Jan,16,70,10,0.7,0.8
Jan,16,100,1,1.1,1.2
Jan,16,100,2,2.1,3.5
Jan,16,100,3,2.5,1.8
Jan,16,130,1,1.8,2
Jan,16,130,2,1.5,0.5
Jan,17,10,1,1.5,1
Jan,17,10,2,2,1.5
Jan,17,10,3,1,1.3
Jan,17,40,1,0.5,0.3
Jan,17,70,1,2,1.3
Jan,17,70,2,1.5,1.5
Jan,17,70,3,1.5,1
Jan,17,100,1,2.5,2.4
Jan,17,100,2,1.9,1.1
Jan,17,100,3,2.9,2.1
Jan,17,100,4,2.2,1
Jan,17,100,5,1.2,0.8
Jan,17,100,6,0.9,0.9
Jan,17,130,1,0.6,1
Jan,17,130,2,1.1,1
Jan,17,130,3,1.1,0.9
Jan,17,130,4,0.6,0.5
Jan,17,130,5,1.3,1
Jan,18,10,1,1.5,0.3
Jan,18,70,1,1.5,0.4
Jan,18,70,2,2,2
Jan,18,100,1,1.6,1.8
Jan,18,100,2,3.5,3.2
Jan,18,100,3,2.4,2.5
Jan,18,100,4,2,0.9
Jan,18,100,5,1.6,1.4
Jan,18,100,6,1.9,1.7
Jan,18,100,7,1.1,1
Jan,18,130,1,1.3,1.1
Jan,18,130,2,0.6,1
Jan,18,130,3,0.9,1.1
Jan,19,40,1,0.5,0.4
Jan,19,70,1,1.5,1.5
Jan,19,70,2,2,2
Jan,19,100,1,1.6,1.8
Jan,19,100,2,3.5,3.2
Jan,19,100,3,2.4,2.5
Jan,19,100,4,2,0.9
Jan,19,100,5,1.6,1.4
Jan,19,100,6,1.9,1.7
Jan,19,100,7,1.1,1
Jan,19,130,1,1.3,1.1
Jan,19,130,2,0.6,1
Jan,19,130,3,0.9,1.1
Jan,20,40,1,0.5,0.5
Jan,20,70,1,1.7,1.4
Jan,20,70,2,2,2.1
Jan,20,70,3,1.9,1.2
Jan,20,70,4,1.2,1.1
Jan,20,70,5,1,2
Jan,20,70,6,1.5,1.6
Jan,20,70,7,1.1,1.5
Jan,20,70,8,1.9,1.4
Jan,20,70,9,2.1,1.8
Jan,20,100,1,2.5,2
Jan,20,100,2,2.9,1.6
Jan,20,100,3,2.5,1.5
Jan,20,130,1,1,0.9
Jan,20,130,2,1.2,1.3
Jan,20,130,3,1.2,1.5
Jan,21,40,1,1,0.8
Jan,21,70,1,2.5,2.5
Jan,21,70,2,2,2.5
Jan,21,70,3,1.5,0.5
Jan,21,70,4,2,1
Jan,21,100,1,3.4,2.5
Jan,21,100,2,1,0.2
Jan,21,100,3,1.4,1.3
Jan,21,100,4,1.5,1.3
